CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0137,0.9999781311169187
C0001,C0152,0.9999554524560413
C0001,C0107,0.996708289419728
C0002,C0142,0.9965169529454905
C0002,C0177,0.9893028626094138
C0002,C0027,0.9873884402253363
C0003,C0133,0.9990001850654269
C0003,C0052,0.9978778468481153
C0003,C0192,0.9850162404718611
C0004,C0113,0.9935472479756232
C0004,C0102,0.9896294223324724
C0004,C0012,0.9863945538217074
C0005,C0159,0.9999674443776866
C0005,C0186,0.9984142387954801
C0005,C0007,0.9929172615772455
C0006,C0158,0.989393973363951
C0006,C0168,0.976906368304156
C0006,C0187,0.9657674699311752
C0007,C0159,0.9938436077798855
C0007,C0005,0.9929172615772455
C0007,C0115,0.9918166003176858
C0008,C0109,0.9818237570548788
C0008,C0139,0.9650775004533905
C0008,C0098,0.9472776649495148
C0009,C0062,0.9899055650055238
C0009,C0198,0.9880526457099371
C0009,C0121,0.9853959765687371
C0010,C0199,0.9982694380353222
C0010,C0121,0.9887519191265755
C0010,C0166,0.9871216958685837
C0011,C0107,0.999492921261783
C0011,C0048,0.9993481055839802
C0011,C0152,0.9946415557423895
C0012,C0155,0.9994956961243611
C0012,C0108,0.9961717109436764
C0012,C0013,0.9879470828897878
C0013,C0087,0.9947163870684474
C0013,C0155,0.9923642122939798
C0013,C0102,0.9882285718639013
C0014,C0060,0.9994478049488837
C0014,C0198,0.9918682917062942
C0014,C0063,0.9847673502628084
C0015,C0144,0.9996630362197846
C0015,C0020,0.9924857355599194
C0015,C0058,0.9899249312560011
C0016,C0183,0.9999803581170318
C0016,C0117,0.9767667739347745
C0016,C0154,0.9760803259633789
C0017,C0124,0.9821330814361339
C0017,C0075,0.9776936551278135
C0017,C0051,0.9622853671881502
C0018,C0016,0.9747397945223722
C0018,C0183,0.9733208107181468
C0018,C0079,0.9698088900708897
C0019,C0172,0.9999927590124897
C0019,C0111,0.9762578697152663
C0019,C0103,0.9751494743395416
C0020,C0058,0.9968589967324609
C0020,C0033,0.9932319492699324
C0020,C0015,0.9924857355599194
